model_short,category,gender,avg_rank_stability,n_resumes,n_version_pairs
gemma-3-4b,INFORMATION-TECHNOLOGY,man,0.7766,10,10
gemma-3-4b,INFORMATION-TECHNOLOGY,woman,0.6703,10,10
gemma-3-4b,DESIGNER,man,0.8511,10,10
gemma-3-4b,DESIGNER,woman,0.8627,10,10
gemma-3-12b,INFORMATION-TECHNOLOGY,man,0.902,10,10
gemma-3-12b,INFORMATION-TECHNOLOGY,woman,0.906,10,10
gemma-3-12b,DESIGNER,man,0.9593,10,10
gemma-3-12b,DESIGNER,woman,0.9599,10,10
gemma-3-27b,INFORMATION-TECHNOLOGY,man,0.9979,10,10
gemma-3-27b,INFORMATION-TECHNOLOGY,woman,0.9986,10,10
gemma-3-27b,DESIGNER,man,0.9841,10,10
gemma-3-27b,DESIGNER,woman,0.9828,10,10
llama-3.1-8b,INFORMATION-TECHNOLOGY,man,0.8325,10,10
llama-3.1-8b,INFORMATION-TECHNOLOGY,woman,0.8318,10,10
llama-3.1-8b,DESIGNER,man,0.9472,10,10
llama-3.1-8b,DESIGNER,woman,0.966,10,10
llama-3.3-70b,INFORMATION-TECHNOLOGY,man,0.8505,10,10
llama-3.3-70b,INFORMATION-TECHNOLOGY,woman,0.8326,10,10
llama-3.3-70b,DESIGNER,man,0.9593,10,10
llama-3.3-70b,DESIGNER,woman,0.9379,10,10
llama-4-scout,INFORMATION-TECHNOLOGY,man,0.8257,10,10
llama-4-scout,INFORMATION-TECHNOLOGY,woman,0.8048,10,10
llama-4-scout,DESIGNER,man,0.9882,10,10
llama-4-scout,DESIGNER,woman,0.9948,10,10
llama-4-maverick,INFORMATION-TECHNOLOGY,man,0.9425,10,10
llama-4-maverick,INFORMATION-TECHNOLOGY,woman,0.9586,10,10
llama-4-maverick,DESIGNER,man,0.9868,10,10
llama-4-maverick,DESIGNER,woman,0.8632,10,10
gpt-4o-mini,INFORMATION-TECHNOLOGY,man,0.9326,10,10
gpt-4o-mini,INFORMATION-TECHNOLOGY,woman,0.9319,10,10
gpt-4o-mini,DESIGNER,man,0.951,10,10
gpt-4o-mini,DESIGNER,woman,0.9526,10,10
gpt-4o,INFORMATION-TECHNOLOGY,man,0.901,10,10
gpt-4o,INFORMATION-TECHNOLOGY,woman,0.874,10,10
gpt-4o,DESIGNER,man,0.98,10,10
gpt-4o,DESIGNER,woman,1.0,10,10
qwen-2.5-7b,INFORMATION-TECHNOLOGY,man,0.6325,10,10
qwen-2.5-7b,INFORMATION-TECHNOLOGY,woman,0.8342,10,10
qwen-2.5-7b,DESIGNER,man,0.8649,10,10
qwen-2.5-7b,DESIGNER,woman,0.9546,10,10
qwen-2.5-72b,INFORMATION-TECHNOLOGY,man,0.9401,10,10
qwen-2.5-72b,INFORMATION-TECHNOLOGY,woman,0.9401,10,10
qwen-2.5-72b,DESIGNER,man,0.9826,10,10
qwen-2.5-72b,DESIGNER,woman,0.9826,10,10
qwen3-14b,INFORMATION-TECHNOLOGY,man,0.7892,10,10
qwen3-14b,INFORMATION-TECHNOLOGY,woman,0.8247,10,10
qwen3-14b,DESIGNER,man,0.9544,10,10
qwen3-14b,DESIGNER,woman,0.8857,10,10
