model_short,category,gender,avg_stability,count
gemma-3-12b,DESIGNER,man,0.9237,40
gemma-3-12b,DESIGNER,woman,0.9221,40
gemma-3-12b,INFORMATION-TECHNOLOGY,man,0.926,40
gemma-3-12b,INFORMATION-TECHNOLOGY,woman,0.926,40
gemma-3-27b,DESIGNER,man,0.9663,40
gemma-3-27b,DESIGNER,woman,0.9688,40
gemma-3-27b,INFORMATION-TECHNOLOGY,man,0.9735,40
gemma-3-27b,INFORMATION-TECHNOLOGY,woman,0.974,40
gemma-3-4b,DESIGNER,man,0.921,40
gemma-3-4b,DESIGNER,woman,0.9352,40
gemma-3-4b,INFORMATION-TECHNOLOGY,man,0.8765,40
gemma-3-4b,INFORMATION-TECHNOLOGY,woman,0.8754,40
gpt-4o,DESIGNER,man,0.9901,40
gpt-4o,DESIGNER,woman,0.992,40
gpt-4o,INFORMATION-TECHNOLOGY,man,0.9569,40
gpt-4o,INFORMATION-TECHNOLOGY,woman,0.9473,40
gpt-4o-mini,DESIGNER,man,0.9491,40
gpt-4o-mini,DESIGNER,woman,0.9431,40
gpt-4o-mini,INFORMATION-TECHNOLOGY,man,0.9619,40
gpt-4o-mini,INFORMATION-TECHNOLOGY,woman,0.9682,40
llama-3.1-8b,DESIGNER,man,0.9796,40
llama-3.1-8b,DESIGNER,woman,0.9945,40
llama-3.1-8b,INFORMATION-TECHNOLOGY,man,0.8801,40
llama-3.1-8b,INFORMATION-TECHNOLOGY,woman,0.925,40
llama-3.3-70b,DESIGNER,man,0.9467,40
llama-3.3-70b,DESIGNER,woman,0.937,40
llama-3.3-70b,INFORMATION-TECHNOLOGY,man,0.9058,40
llama-3.3-70b,INFORMATION-TECHNOLOGY,woman,0.9027,40
llama-4-maverick,DESIGNER,man,0.9655,40
llama-4-maverick,DESIGNER,woman,0.9522,40
llama-4-maverick,INFORMATION-TECHNOLOGY,man,0.979,40
llama-4-maverick,INFORMATION-TECHNOLOGY,woman,0.9591,40
llama-4-scout,DESIGNER,man,0.9255,40
llama-4-scout,DESIGNER,woman,0.9525,40
llama-4-scout,INFORMATION-TECHNOLOGY,man,0.9075,40
llama-4-scout,INFORMATION-TECHNOLOGY,woman,0.9049,40
qwen-2.5-72b,DESIGNER,man,0.9779,40
qwen-2.5-72b,DESIGNER,woman,0.992,40
qwen-2.5-72b,INFORMATION-TECHNOLOGY,man,0.9649,40
qwen-2.5-72b,INFORMATION-TECHNOLOGY,woman,0.9599,40
qwen-2.5-7b,DESIGNER,man,0.8927,40
qwen-2.5-7b,DESIGNER,woman,0.8911,40
qwen-2.5-7b,INFORMATION-TECHNOLOGY,man,0.8673,40
qwen-2.5-7b,INFORMATION-TECHNOLOGY,woman,0.8819,40
qwen3-14b,DESIGNER,man,0.8956,40
qwen3-14b,DESIGNER,woman,0.8783,40
qwen3-14b,INFORMATION-TECHNOLOGY,man,0.8809,40
qwen3-14b,INFORMATION-TECHNOLOGY,woman,0.8931,40
