model_short,category,gender,avg_stability,count
gemma-3-12b,DESIGNER,man,0.9284,40
gemma-3-12b,DESIGNER,woman,0.9331,40
gemma-3-27b,DESIGNER,man,0.9569,40
gemma-3-27b,DESIGNER,woman,0.963,40
gemma-3-4b,DESIGNER,man,0.9016,40
gemma-3-4b,DESIGNER,woman,0.9205,40
gpt-4o,DESIGNER,man,0.9851,40
gpt-4o,DESIGNER,woman,0.9815,40
gpt-4o-mini,DESIGNER,man,0.94,40
gpt-4o-mini,DESIGNER,woman,0.9508,40
llama-3.1-8b,DESIGNER,man,0.9699,40
llama-3.1-8b,DESIGNER,woman,0.9729,40
llama-3.3-70b,DESIGNER,man,0.9414,40
llama-3.3-70b,DESIGNER,woman,0.9196,40
llama-4-maverick,DESIGNER,man,0.966,40
llama-4-maverick,DESIGNER,woman,0.9674,40
llama-4-scout,DESIGNER,man,0.9517,40
llama-4-scout,DESIGNER,woman,0.9572,40
qwen-2.5-72b,DESIGNER,man,0.9771,40
qwen-2.5-72b,DESIGNER,woman,0.984,40
qwen-2.5-7b,DESIGNER,man,0.8878,40
qwen-2.5-7b,DESIGNER,woman,0.8946,40
qwen3-14b,DESIGNER,man,0.8838,40
qwen3-14b,DESIGNER,woman,0.8869,40
