model_short,category,gender,avg_stability,count
gemma-3-12b,INFORMATION-TECHNOLOGY,man,0.9215,40
gemma-3-12b,INFORMATION-TECHNOLOGY,woman,0.9185,40
gemma-3-27b,INFORMATION-TECHNOLOGY,man,0.9826,40
gemma-3-27b,INFORMATION-TECHNOLOGY,woman,0.974,40
gemma-3-4b,INFORMATION-TECHNOLOGY,man,0.8541,40
gemma-3-4b,INFORMATION-TECHNOLOGY,woman,0.8566,40
gpt-4o,INFORMATION-TECHNOLOGY,man,0.953,40
gpt-4o,INFORMATION-TECHNOLOGY,woman,0.9474,40
gpt-4o-mini,INFORMATION-TECHNOLOGY,man,0.9607,40
gpt-4o-mini,INFORMATION-TECHNOLOGY,woman,0.9594,40
llama-3.1-8b,INFORMATION-TECHNOLOGY,man,0.8771,40
llama-3.1-8b,INFORMATION-TECHNOLOGY,woman,0.9086,40
llama-3.3-70b,INFORMATION-TECHNOLOGY,man,0.9115,40
llama-3.3-70b,INFORMATION-TECHNOLOGY,woman,0.9299,40
llama-4-maverick,INFORMATION-TECHNOLOGY,man,0.9619,40
llama-4-maverick,INFORMATION-TECHNOLOGY,woman,0.9514,40
llama-4-scout,INFORMATION-TECHNOLOGY,man,0.9253,40
llama-4-scout,INFORMATION-TECHNOLOGY,woman,0.9138,40
qwen-2.5-72b,INFORMATION-TECHNOLOGY,man,0.9635,40
qwen-2.5-72b,INFORMATION-TECHNOLOGY,woman,0.9611,40
qwen-2.5-7b,INFORMATION-TECHNOLOGY,man,0.9042,40
qwen-2.5-7b,INFORMATION-TECHNOLOGY,woman,0.8789,40
qwen3-14b,INFORMATION-TECHNOLOGY,man,0.8677,40
qwen3-14b,INFORMATION-TECHNOLOGY,woman,0.8854,40
