model_short,category,race,avg_stability,count
gemma-3-12b,INFORMATION-TECHNOLOGY,Asian,0.9271,20
gemma-3-12b,INFORMATION-TECHNOLOGY,Black or African American,0.916,20
gemma-3-12b,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.921,20
gemma-3-12b,INFORMATION-TECHNOLOGY,White,0.916,20
gemma-3-27b,INFORMATION-TECHNOLOGY,Asian,0.9751,20
gemma-3-27b,INFORMATION-TECHNOLOGY,Black or African American,0.979,20
gemma-3-27b,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.9751,20
gemma-3-27b,INFORMATION-TECHNOLOGY,White,0.984,20
gemma-3-4b,INFORMATION-TECHNOLOGY,Asian,0.8817,20
gemma-3-4b,INFORMATION-TECHNOLOGY,Black or African American,0.8205,20
gemma-3-4b,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.8636,20
gemma-3-4b,INFORMATION-TECHNOLOGY,White,0.8556,20
gpt-4o,INFORMATION-TECHNOLOGY,Asian,0.9524,20
gpt-4o,INFORMATION-TECHNOLOGY,Black or African American,0.9536,20
gpt-4o,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.9542,20
gpt-4o,INFORMATION-TECHNOLOGY,White,0.9407,20
gpt-4o-mini,INFORMATION-TECHNOLOGY,Asian,0.9558,20
gpt-4o-mini,INFORMATION-TECHNOLOGY,Black or African American,0.9657,20
gpt-4o-mini,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.9619,20
gpt-4o-mini,INFORMATION-TECHNOLOGY,White,0.9569,20
llama-3.1-8b,INFORMATION-TECHNOLOGY,Asian,0.8808,20
llama-3.1-8b,INFORMATION-TECHNOLOGY,Black or African American,0.8773,20
llama-3.1-8b,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.9044,20
llama-3.1-8b,INFORMATION-TECHNOLOGY,White,0.9088,20
llama-3.3-70b,INFORMATION-TECHNOLOGY,Asian,0.8999,20
llama-3.3-70b,INFORMATION-TECHNOLOGY,Black or African American,0.9375,20
llama-3.3-70b,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.9182,20
llama-3.3-70b,INFORMATION-TECHNOLOGY,White,0.9271,20
llama-4-maverick,INFORMATION-TECHNOLOGY,Asian,0.9332,20
llama-4-maverick,INFORMATION-TECHNOLOGY,Black or African American,0.9596,20
llama-4-maverick,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.9558,20
llama-4-maverick,INFORMATION-TECHNOLOGY,White,0.9779,20
llama-4-scout,INFORMATION-TECHNOLOGY,Asian,0.9309,20
llama-4-scout,INFORMATION-TECHNOLOGY,Black or African American,0.8905,20
llama-4-scout,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.9369,20
llama-4-scout,INFORMATION-TECHNOLOGY,White,0.9199,20
qwen-2.5-72b,INFORMATION-TECHNOLOGY,Asian,0.953,20
qwen-2.5-72b,INFORMATION-TECHNOLOGY,Black or African American,0.9641,20
qwen-2.5-72b,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.974,20
qwen-2.5-72b,INFORMATION-TECHNOLOGY,White,0.958,20
qwen-2.5-7b,INFORMATION-TECHNOLOGY,Asian,0.8769,20
qwen-2.5-7b,INFORMATION-TECHNOLOGY,Black or African American,0.8827,20
qwen-2.5-7b,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.9039,20
qwen-2.5-7b,INFORMATION-TECHNOLOGY,White,0.9027,20
qwen3-14b,INFORMATION-TECHNOLOGY,Asian,0.8919,20
qwen3-14b,INFORMATION-TECHNOLOGY,Black or African American,0.8658,20
qwen3-14b,INFORMATION-TECHNOLOGY,Hispanic or Latino,0.8704,20
qwen3-14b,INFORMATION-TECHNOLOGY,White,0.878,20
