model,avg_stability,min_stability,avg_score,race_gap,gender_gap,white_mean,black_mean,asian_mean,hispanic_mean,man_mean,woman_mean
qwen-2.5-72b,0.9737,0.8783,5.099,0.055,0.002,5.105,5.105,5.065,5.12,5.098,5.1
gpt-4o,0.9716,0.8141,3.826,0.115,0.003,3.81,3.86,3.76,3.875,3.828,3.825
gemma-3-27b,0.9706,0.8783,4.671,0.035,0.007,4.66,4.695,4.665,4.665,4.675,4.668
llama-4-maverick,0.9683,0.8012,4.981,0.015,0.017,4.98,4.98,4.975,4.99,4.973,4.99
gpt-4o-mini,0.9556,0.8783,4.162,0.065,0.04,4.15,4.2,4.135,4.165,4.143,4.183
llama-3.1-8b,0.9448,0.7566,3.27,0.075,0.04,3.23,3.285,3.26,3.305,3.29,3.25
gemma-3-12b,0.9244,0.8012,4.824,0.035,0.028,4.81,4.84,4.805,4.84,4.81,4.838
llama-3.3-70b,0.9231,0.7566,4.378,0.145,0.095,4.335,4.475,4.33,4.37,4.33,4.425
llama-4-scout,0.9226,0.7566,4.034,0.06,0.007,4.06,4.055,4.0,4.02,4.037,4.03
gemma-3-4b,0.902,0.7103,4.524,0.035,0.007,4.53,4.53,4.5,4.535,4.527,4.52
qwen3-14b,0.887,0.6486,4.324,0.085,0.067,4.29,4.37,4.285,4.35,4.29,4.357
qwen-2.5-7b,0.8832,0.6151,4.145,0.04,0.0,4.14,4.165,4.125,4.15,4.145,4.145
